Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Timestamp
23.67.255.209,10.8.8.178,443,39273,TCP,52,1433354223.52525
23.67.255.209,10.8.8.178,443,39272,TCP,52,1433354223.525293
23.63.99.130,10.8.8.178,443,42603,TCP,52,1433354224.483221
173.252.100.27,10.8.8.178,443,47132,TCP,707,1433354224.906446
23.67.255.209,10.8.8.178,443,39285,TCP,105,1433354225.068539
23.67.255.209,10.8.8.178,443,39285,TCP,52,1433354225.068627
173.252.100.27,10.8.8.178,443,47132,TCP,97,1433354225.179326
173.252.100.27,10.8.8.178,443,47132,TCP,694,1433354225.193513
23.67.255.209,10.8.8.178,443,39285,TCP,52,1433354225.200891
23.67.255.209,10.8.8.178,443,39275,TCP,52,1433354225.254037
173.252.100.27,10.8.8.178,443,47132,TCP,97,1433354225.433267
23.67.255.209,10.8.8.178,443,39276,TCP,52,1433354226.596122
173.252.100.18,10.8.8.178,443,45583,TCP,93,1433354227.845071
173.252.100.1,10.8.8.178,443,59822,TCP,93,1433354228.84754
23.67.255.209,10.8.8.178,443,39269,TCP,52,1433354229.18727
23.67.255.209,10.8.8.178,443,39276,TCP,105,1433354230.903423
23.67.255.209,10.8.8.178,443,39276,TCP,52,1433354230.903653
23.67.255.209,10.8.8.178,443,39276,TCP,52,1433354230.90375
23.67.255.209,10.8.8.178,443,39276,TCP,105,1433354230.941676
173.252.100.27,10.8.8.178,443,47132,TCP,1147,1433354231.542356
173.252.100.27,10.8.8.178,443,47132,TCP,97,1433354231.95277
173.252.100.27,10.8.8.178,443,47132,TCP,52,1433354231.976227
173.252.100.27,10.8.8.178,443,47132,TCP,97,1433354231.976917
173.252.100.27,10.8.8.178,443,47132,TCP,1048,1433354231.991617
173.252.100.27,10.8.8.178,443,47132,TCP,1360,1433354232.102006
173.252.100.27,10.8.8.178,443,47132,TCP,203,1433354232.102076
173.252.100.27,10.8.8.178,443,47132,TCP,99,1433354232.102129
173.252.100.27,10.8.8.178,443,47132,TCP,97,1433354232.243904
31.13.90.6,10.8.8.178,443,36920,TCP,52,1433354232.744759
31.13.90.6,10.8.8.178,443,36920,TCP,93,1433354232.744942
23.67.255.209,10.8.8.178,443,39273,TCP,52,1433354233.66975
23.67.255.209,10.8.8.178,443,39272,TCP,52,1433354233.671279
