Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Timestamp
10.8.8.138,204.236.238.164,50940,21,TCP,60,1432323641.169343
10.8.8.138,204.236.238.164,50940,21,TCP,52,1432323641.396432
10.8.8.138,204.236.238.164,50940,21,TCP,52,1432323641.621999
10.8.8.138,204.236.238.164,50940,21,TCP,62,1432323641.62217
10.8.8.138,204.236.238.164,50940,21,TCP,143,1432323641.845502
10.8.8.138,204.236.238.164,50940,21,TCP,52,1432323642.084738
10.8.8.138,204.236.238.164,50940,21,TCP,52,1432323642.084873
10.8.8.138,204.236.238.164,50940,21,TCP,159,1432323642.094606
10.8.8.138,204.236.238.164,50940,21,TCP,58,1432323642.094613
10.8.8.138,204.236.238.164,50940,21,TCP,217,1432323642.09487
10.8.8.138,204.236.238.164,50940,21,TCP,52,1432323642.358547
10.8.8.138,204.236.238.164,50940,21,TCP,52,1432323642.580901
10.8.8.138,204.236.238.164,50940,21,TCP,361,1432323642.586868
10.8.8.138,204.236.238.164,50940,21,TCP,249,1432323642.816496
10.8.8.138,204.236.238.164,50940,21,TCP,329,1432323643.09511
10.8.8.138,204.236.238.164,50941,21,TCP,60,1432323643.201244
10.8.8.138,204.236.238.164,50940,21,TCP,249,1432323643.321499
10.8.8.138,204.236.238.164,50941,21,TCP,52,1432323643.427315
10.8.8.138,204.236.238.164,50940,21,TCP,313,1432323643.553438
10.8.8.138,204.236.238.164,50941,21,TCP,52,1432323643.655087
10.8.8.138,204.236.238.164,50941,21,TCP,62,1432323643.655557
10.8.8.138,204.236.238.164,50940,21,TCP,185,1432323643.778087
10.8.8.138,204.236.238.164,50941,21,TCP,143,1432323643.878165
10.8.8.138,204.236.238.164,50940,21,TCP,137,1432323644.00151
10.8.8.138,204.236.238.164,50941,21,TCP,64,1432323644.11529
10.8.8.138,204.236.238.164,50940,21,TCP,121,1432323644.225584
10.8.8.138,204.236.238.164,50941,21,TCP,64,1432323644.391887
10.8.8.138,204.236.238.164,50941,21,TCP,52,1432323644.392008
10.8.8.138,204.236.238.164,50941,21,TCP,159,1432323644.399184
10.8.8.138,204.236.238.164,50941,21,TCP,58,1432323644.399192
10.8.8.138,204.236.238.164,50941,21,TCP,265,1432323644.399455
10.8.8.138,204.236.238.164,50940,21,TCP,233,1432323644.45919
10.8.8.138,204.236.238.164,50941,21,TCP,52,1432323644.67054
10.8.8.138,204.236.238.164,50940,21,TCP,233,1432323644.689302
10.8.8.138,204.236.238.164,50941,21,TCP,52,1432323644.890619
10.8.8.138,204.236.238.164,50941,21,TCP,233,1432323644.894714
10.8.8.138,204.236.238.164,50940,21,TCP,249,1432323644.917347
10.8.8.138,204.236.238.164,59805,1878,TCP,60,1432323644.917357
10.8.8.138,204.236.238.164,50941,21,TCP,217,1432323645.122146
10.8.8.138,204.236.238.164,59805,1878,TCP,52,1432323645.143355
10.8.8.138,204.236.238.164,59805,1878,TCP,143,1432323645.143741
10.8.8.138,204.236.238.164,50940,21,TCP,52,1432323645.206525
10.8.8.138,204.236.238.164,50941,21,TCP,313,1432323645.370841
10.8.8.138,204.236.238.164,50941,21,TCP,233,1432323645.594232
10.8.8.138,204.236.238.164,59805,1878,TCP,52,1432323645.704339
10.8.8.138,204.236.238.164,59805,1878,TCP,64,1432323645.704448
10.8.8.138,204.236.238.164,59805,1878,TCP,64,1432323645.704491
10.8.8.138,204.236.238.164,50941,21,TCP,169,1432323645.816111
10.8.8.138,204.236.238.164,59805,1878,TCP,52,1432323645.97404
10.8.8.138,204.236.238.164,59805,1878,TCP,159,1432323645.978781
10.8.8.138,204.236.238.164,50941,21,TCP,153,1432323646.040295
10.8.8.138,204.236.238.164,59805,1878,TCP,191,1432323646.203836
10.8.8.138,204.236.238.164,50941,21,TCP,281,1432323646.262833
10.8.8.138,204.236.238.164,59805,1878,TCP,52,1432323646.462577
10.8.8.138,204.236.238.164,50941,21,TCP,329,1432323646.489919
10.8.8.138,204.236.238.164,59805,1878,TCP,52,1432323646.68164
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683148
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683163
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.68318
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683182
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683192
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683195
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683205
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683223
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683234
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.683243
10.8.8.138,204.236.238.164,50941,21,TCP,185,1432323646.713028
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900549
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900576
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.90059
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900597
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900644
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900647
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900657
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900671
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900904
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900909
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900928
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900943
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900987
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.900989
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.901001
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.90101
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.901441
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.901443
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.901451
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323646.901453
10.8.8.138,204.236.238.164,44296,1901,TCP,60,1432323646.939693
10.8.8.138,204.236.238.164,50941,21,TCP,249,1432323646.939731
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.121805
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.121815
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.121819
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.121821
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.121991
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.121992
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.121995
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.121995
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.122006
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.122008
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.122011
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.122014
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.122017
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.122018
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.12202
10.8.8.138,204.236.238.164,59805,1878,TCP,1360,1432323647.122021
