ip1_int,ip2_int,src_port,dst_port,protocol,forward_packets,forward_bytes,total_packets,total_bytes,backward_packets,backward_bytes,forward_packets_per_sec,backward_packets_per_sec,forward_bytes_per_sec,backward_bytes_per_sec,forward_avg_packet_length_per_flow,back_avg_packet_length_per_flow,label
2211115158,2918999067,56404,443,6,14,6179,38.0,4579.0,10,4559,28.0,20.0,12358.0,9118.0,441.357,455.9,2
2211115158,2918999067,56404,443,6,13,4957,36.0,4579.0,10,4559,26.0,20.0,9914.0,9118.0,381.308,455.9,2
2211115158,2918999067,56404,443,6,12,3842,34.0,4579.0,10,4559,24.0,20.0,7684.0,9118.0,320.167,455.9,2
2211115158,2918999067,56404,443,6,17,3677,50.0,15422.0,16,15390,34.0,32.0,7354.0,30780.0,216.294,961.875,2
2211115158,2918999067,56404,443,6,16,2390,48.0,15422.0,16,15390,32.0,32.0,4780.0,30780.0,149.375,961.875,2
2918999067,2211115158,443,56404,6,16,2155,49.0,17604.0,17,17570,32.0,34.0,4310.0,35140.0,134.688,1033.529,2
2918999067,2211115158,443,56404,6,16,2155,48.0,17536.0,16,17504,32.0,32.0,4310.0,35008.0,134.688,1094.0,2
2211115158,2918999067,56404,443,6,16,2155,47.0,17423.0,15,17393,32.0,30.0,4310.0,34786.0,134.688,1159.533,2
2918999067,2211115158,443,56404,6,15,2089,45.0,17423.0,15,17393,30.0,30.0,4178.0,34786.0,139.267,1159.533,2
2918999067,2211115158,443,56404,6,15,2089,44.0,17355.0,14,17327,30.0,28.0,4178.0,34654.0,139.267,1237.643,2
2211115158,2918999067,56404,443,6,15,2089,43.0,17242.0,13,17216,30.0,26.0,4178.0,34432.0,139.267,1324.308,2
2918999067,2211115158,443,56404,6,14,2023,41.0,17242.0,13,17216,28.0,26.0,4046.0,34432.0,144.5,1324.308,2
2211115158,2918999067,56404,443,6,14,2023,40.0,15407.0,12,15383,28.0,24.0,4046.0,30766.0,144.5,1281.917,2
2918999067,2211115158,443,56404,6,13,1957,38.0,15407.0,12,15383,26.0,24.0,3914.0,30766.0,150.538,1281.917,2
2211115158,2918999067,56404,443,6,13,1957,37.0,15209.0,11,15187,26.0,22.0,3914.0,30374.0,150.538,1380.636,2
2918999067,2211115158,443,56404,6,14,3482,39.0,15209.0,11,15187,28.0,22.0,6964.0,30374.0,248.714,1380.636,2
2211115158,2918999067,56404,443,6,14,3482,38.0,13503.0,10,13483,28.0,20.0,6964.0,26966.0,248.714,1348.3,2
2918999067,2211115158,443,56404,6,13,3416,36.0,13503.0,10,13483,26.0,20.0,6832.0,26966.0,262.769,1348.3,2
2211115158,2918999067,56404,443,6,13,3416,35.0,13253.0,9,13235,26.0,18.0,6832.0,26470.0,262.769,1470.556,2
2918999067,2211115158,443,56404,6,12,3350,33.0,13253.0,9,13235,24.0,18.0,6700.0,26470.0,279.167,1470.556,2
2211115158,2918999067,56404,443,6,12,3350,32.0,13138.0,8,13122,24.0,16.0,6700.0,26244.0,279.167,1640.25,2
2211115158,2918999067,56404,443,6,11,3284,30.0,13138.0,8,13122,22.0,16.0,6568.0,26244.0,298.545,1640.25,2
2918999067,2211115158,443,56404,6,15,5370,40.0,13319.0,10,13299,30.0,20.0,10740.0,26598.0,358.0,1329.9,2
2211115158,2918999067,56404,443,6,15,5370,39.0,13206.0,9,13188,30.0,18.0,10740.0,26376.0,358.0,1465.333,2
2918999067,2211115158,443,56404,6,19,5646,54.0,15263.0,16,15231,38.0,32.0,11292.0,30462.0,297.158,951.938,2
2211115158,2918999067,56404,443,6,19,5646,53.0,13575.0,15,13545,38.0,30.0,11292.0,27090.0,297.158,903.0,2
2918999067,2211115158,443,56404,6,18,5580,51.0,13575.0,15,13545,36.0,30.0,11160.0,27090.0,310.0,903.0,2
2211115158,2918999067,56404,443,6,18,5580,50.0,12169.0,14,12141,36.0,28.0,11160.0,24282.0,310.0,867.214,2
2918999067,2211115158,443,56404,6,17,5514,48.0,12169.0,14,12141,34.0,28.0,11028.0,24282.0,324.353,867.214,2
2211115158,2918999067,56404,443,6,17,5514,47.0,10801.0,13,10775,34.0,26.0,11028.0,21550.0,324.353,828.846,2
2918999067,2211115158,443,56404,6,16,5448,45.0,10801.0,13,10775,32.0,26.0,10896.0,21550.0,340.5,828.846,2
2211115158,2918999067,56404,443,6,16,5448,44.0,6746.0,12,6722,32.0,24.0,10896.0,13444.0,340.5,560.167,2
2918999067,2211115158,443,56404,6,15,5382,42.0,6746.0,12,6722,30.0,24.0,10764.0,13444.0,358.8,560.167,2
2211115158,2918999067,56404,443,6,15,5382,41.0,6049.0,11,6027,30.0,22.0,10764.0,12054.0,358.8,547.909,2
2918999067,2211115158,443,56404,6,14,5316,39.0,6049.0,11,6027,28.0,22.0,10632.0,12054.0,379.714,547.909,2
2211115158,2918999067,56404,443,6,14,5316,38.0,4420.0,10,4400,28.0,20.0,10632.0,8800.0,379.714,440.0,2
2918999067,2211115158,443,56404,6,18,5592,51.0,8277.0,15,8247,36.0,30.0,11184.0,16494.0,310.667,549.8,2
2211115158,2918999067,56404,443,6,18,5592,50.0,6095.0,14,6067,36.0,28.0,11184.0,12134.0,310.667,433.357,2
2211115158,2918999067,56404,443,6,17,5526,48.0,6095.0,14,6067,34.0,28.0,11052.0,12134.0,325.059,433.357,2
2211115158,2918999067,56404,443,6,16,4203,46.0,6095.0,14,6067,32.0,28.0,8406.0,12134.0,262.688,433.357,2
2211115158,2918999067,56404,443,6,15,3935,44.0,6095.0,14,6067,30.0,28.0,7870.0,12134.0,262.333,433.357,2
2211115158,2918999067,56404,443,6,14,2606,42.0,6095.0,14,6067,28.0,28.0,5212.0,12134.0,186.143,433.357,2
2211115158,2918999067,56404,443,6,13,2338,40.0,6095.0,14,6067,26.0,28.0,4676.0,12134.0,179.846,433.357,2
2211115158,2918999067,56404,443,6,12,1018,38.0,6095.0,14,6067,24.0,28.0,2036.0,12134.0,84.833,433.357,2
2918999067,2211115158,443,56404,6,11,750,36.0,6095.0,14,6067,22.0,28.0,1500.0,12134.0,68.182,433.357,2
2918999067,2211115158,443,56404,6,11,750,35.0,6027.0,13,6001,22.0,26.0,1500.0,12002.0,68.182,461.615,2
2211115158,2918999067,56404,443,6,11,750,34.0,5914.0,12,5890,22.0,24.0,1500.0,11780.0,68.182,490.833,2
2918999067,2211115158,443,56404,6,10,684,32.0,5914.0,12,5890,20.0,24.0,1368.0,11780.0,68.4,490.833,2
2211115158,2918999067,56404,443,6,10,684,31.0,5740.0,11,5718,20.0,22.0,1368.0,11436.0,68.4,519.818,2
2918999067,2211115158,443,56404,6,9,606,29.0,5740.0,11,5718,18.0,22.0,1212.0,11436.0,67.333,519.818,2
2211115158,2918999067,56404,443,6,9,606,28.0,4334.0,10,4314,18.0,20.0,1212.0,8628.0,67.333,431.4,2
2918999067,2211115158,443,56404,6,8,540,26.0,4334.0,10,4314,16.0,20.0,1080.0,8628.0,67.5,431.4,2
2211115158,2918999067,56404,443,6,8,540,25.0,4219.0,9,4201,16.0,18.0,1080.0,8402.0,67.5,466.778,2
2918999067,2211115158,443,56404,6,7,474,23.0,4219.0,9,4201,14.0,18.0,948.0,8402.0,67.714,466.778,2
2918999067,2211115158,443,56404,6,7,474,22.0,4151.0,8,4135,14.0,16.0,948.0,8270.0,67.714,516.875,2
2211115158,2918999067,56404,443,6,7,474,21.0,4038.0,7,4024,14.0,14.0,948.0,8048.0,67.714,574.857,2
2918999067,2211115158,443,56404,6,6,408,19.0,4038.0,7,4024,12.0,14.0,816.0,8048.0,68.0,574.857,2
2918999067,2211115158,443,56404,6,6,408,18.0,3970.0,6,3958,12.0,12.0,816.0,7916.0,68.0,659.667,2
2211115158,2918999067,56404,443,6,6,408,17.0,3857.0,5,3847,12.0,10.0,816.0,7694.0,68.0,769.4,2
2918999067,2211115158,443,56404,6,5,342,15.0,3857.0,5,3847,10.0,10.0,684.0,7694.0,68.4,769.4,2
2211115158,2918999067,56404,443,6,5,342,14.0,3742.0,4,3734,10.0,8.0,684.0,7468.0,68.4,933.5,2
2918999067,2211115158,443,56404,6,4,264,12.0,3742.0,4,3734,8.0,8.0,528.0,7468.0,66.0,933.5,2
2211115158,2918999067,56404,443,6,4,264,11.0,2092.0,3,2086,8.0,6.0,528.0,4172.0,66.0,695.333,2
2918999067,2211115158,443,56404,6,3,198,9.0,2092.0,3,2086,6.0,6.0,396.0,4172.0,66.0,695.333,2
2211115158,2918999067,56404,443,6,3,198,8.0,395.0,2,391,6.0,4.0,396.0,782.0,66.0,195.5,2
2918999067,2211115158,443,56404,6,2,132,6.0,395.0,2,391,4.0,4.0,264.0,782.0,66.0,195.5,2
2211115158,2918999067,56404,443,6,2,132,5.0,115.0,1,113,4.0,2.0,264.0,226.0,66.0,113.0,2
2918999067,2211115158,443,56404,6,1,66,3.0,115.0,1,113,2.0,2.0,132.0,226.0,66.0,113.0,2
2211115158,2918999067,56404,443,6,1,66,2.0,0.0,0,0,2.0,0.0,132.0,0.0,66.0,0.0,2
2211115158,2918999067,56404,443,6,48,51337,123.0,10033.0,27,9979,96.0,54.0,102674.0,19958.0,1069.521,369.593,2
2211115158,2918999067,56404,443,6,71,66780,188.0,20670.0,46,20578,142.0,92.0,133560.0,41156.0,940.563,447.348,2
2211115158,2918999067,56404,443,6,70,64038,186.0,20670.0,46,20578,140.0,92.0,128076.0,41156.0,914.829,447.348,2
2211115158,2918999067,56404,443,6,69,63499,184.0,20670.0,46,20578,138.0,92.0,126998.0,41156.0,920.275,447.348,2
2211115158,2918999067,56404,443,6,69,63297,186.0,20851.0,48,20755,138.0,96.0,126594.0,41510.0,917.348,432.396,2
2211115158,2918999067,56404,443,6,68,61893,184.0,20851.0,48,20755,136.0,96.0,123786.0,41510.0,910.191,432.396,2
2211115158,2918999067,56404,443,6,67,61647,182.0,20851.0,48,20755,134.0,96.0,123294.0,41510.0,920.104,432.396,2
2211115158,2918999067,56404,443,6,66,61379,180.0,20851.0,48,20755,132.0,96.0,122758.0,41510.0,929.985,432.396,2
2211115158,2918999067,56404,443,6,65,59975,178.0,20851.0,48,20755,130.0,96.0,119950.0,41510.0,922.692,432.396,2
2918999067,2211115158,443,56404,6,68,61740,185.0,22541.0,49,22443,136.0,98.0,123480.0,44886.0,907.941,458.02,2
2211115158,2918999067,56404,443,6,68,61740,184.0,22428.0,48,22332,136.0,96.0,123480.0,44664.0,907.941,465.25,2
2918999067,2211115158,443,56404,6,67,58998,182.0,22428.0,48,22332,134.0,96.0,117996.0,44664.0,880.567,465.25,2
