Source_IP,Destination_IP,Source_Port,Destination_Port,Protocol,Packet_Size,Timestamp
173.194.67.189,10.8.8.178,443,57866,TCP,496,1433361120.956828
173.194.67.189,10.8.8.178,443,57866,TCP,511,1433361121.054122
173.194.67.189,10.8.8.178,443,57866,TCP,497,1433361124.024395
173.194.67.189,10.8.8.178,443,57866,TCP,1340,1433361125.276451
173.194.67.189,10.8.8.178,443,57866,TCP,922,1433361125.276602
173.194.67.189,10.8.8.178,443,57866,TCP,809,1433361125.558553
173.194.67.189,10.8.8.178,443,57866,TCP,52,1433361125.942639
173.194.67.189,10.8.8.178,443,57866,TCP,52,1433361125.943485
173.194.67.189,10.8.8.178,443,57866,TCP,52,1433361125.943523
173.194.67.189,10.8.8.178,443,57866,TCP,125,1433361125.947351
173.194.67.189,10.8.8.178,443,57866,TCP,150,1433361125.947629
173.194.67.189,10.8.8.178,443,57866,TCP,98,1433361125.947658
173.194.67.189,10.8.8.178,443,57866,TCP,52,1433361126.125277
216.58.208.46,10.8.8.178,443,38245,TCP,52,1433361126.407498
216.58.208.46,10.8.8.178,443,38246,TCP,60,1433361126.40755
216.58.208.46,10.8.8.178,443,38245,TCP,52,1433361126.40762
216.58.208.46,10.8.8.178,443,38245,TCP,204,1433361126.417287
216.58.208.46,10.8.8.178,443,38245,TCP,90,1433361126.417406
216.58.208.46,10.8.8.178,443,38245,TCP,98,1433361126.417425
216.58.208.46,10.8.8.178,443,38246,TCP,52,1433361126.536988
216.58.208.46,10.8.8.178,443,38246,TCP,1360,1433361126.543039
216.58.208.46,10.8.8.178,443,38246,TCP,1360,1433361126.543098
216.58.208.46,10.8.8.178,443,38246,TCP,1344,1433361126.543133
216.58.208.46,10.8.8.178,443,38247,TCP,60,1433361126.554184
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554239
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554275
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554295
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554316
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554337
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554357
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554378
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554401
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.554423
216.58.208.46,10.8.8.178,443,38245,TCP,52,1433361126.589187
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.589216
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.683777
216.58.208.46,10.8.8.178,443,38246,TCP,298,1433361126.683873
216.58.208.46,10.8.8.178,443,38246,TCP,108,1433361126.684157
216.58.208.46,10.8.8.178,443,38246,TCP,94,1433361126.684176
216.58.208.46,10.8.8.178,443,38246,TCP,90,1433361126.692215
216.58.208.46,10.8.8.178,443,38247,TCP,52,1433361126.69233
216.58.208.46,10.8.8.178,443,38247,TCP,1360,1433361126.692994
216.58.208.46,10.8.8.178,443,38247,TCP,1360,1433361126.693043
216.58.208.46,10.8.8.178,443,38247,TCP,1344,1433361126.693076
216.58.208.46,10.8.8.178,443,38243,TCP,485,1433361126.701837
216.58.208.46,10.8.8.178,443,38243,TCP,191,1433361126.701921
216.58.208.46,10.8.8.178,443,38243,TCP,98,1433361126.701951
216.58.208.46,10.8.8.178,443,38243,TCP,94,1433361126.726835
216.58.208.46,10.8.8.178,443,38243,TCP,90,1433361126.726868
216.58.208.46,10.8.8.178,443,38243,TCP,98,1433361126.726887
216.58.208.46,10.8.8.178,443,38247,TCP,298,1433361126.830589
216.58.208.46,10.8.8.178,443,38247,TCP,108,1433361126.830632
216.58.208.46,10.8.8.178,443,38247,TCP,94,1433361126.830653
216.58.208.46,10.8.8.178,443,38247,TCP,90,1433361126.830671
216.58.208.46,10.8.8.178,443,38246,TCP,52,1433361126.858466
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361126.874074
216.58.208.46,10.8.8.178,443,38247,TCP,52,1433361127.011282
216.58.208.37,10.8.8.178,443,51898,TCP,60,1433361129.467365
216.58.208.37,10.8.8.178,443,51898,TCP,52,1433361129.603624
216.58.208.37,10.8.8.178,443,51898,TCP,198,1433361129.60812
173.194.67.189,10.8.8.178,443,57866,TCP,496,1433361129.721088
216.58.208.37,10.8.8.178,443,51898,TCP,108,1433361129.769556
216.58.208.37,10.8.8.178,443,51898,TCP,94,1433361129.769698
216.58.208.37,10.8.8.178,443,51898,TCP,90,1433361129.769718
216.58.208.37,10.8.8.178,443,51898,TCP,52,1433361129.769741
216.58.208.37,10.8.8.178,443,51898,TCP,52,1433361129.810241
216.58.208.37,10.8.8.178,443,51898,TCP,325,1433361129.863567
216.58.208.37,10.8.8.178,443,51898,TCP,1045,1433361129.863662
216.58.208.37,10.8.8.178,443,51898,TCP,98,1433361129.863697
216.58.208.37,10.8.8.178,443,51898,TCP,52,1433361129.908911
173.194.67.189,10.8.8.178,443,57866,TCP,499,1433361129.932483
216.58.208.37,10.8.8.178,443,51898,TCP,52,1433361129.997581
216.58.208.46,10.8.8.178,443,38246,TCP,52,1433361130.695875
216.58.208.46,10.8.8.178,443,38247,TCP,52,1433361130.695997
216.58.208.46,10.8.8.178,443,38246,TCP,52,1433361130.744911
216.58.208.46,10.8.8.178,443,38246,TCP,52,1433361130.746612
216.58.208.46,10.8.8.178,443,38246,TCP,52,1433361130.758034
216.58.208.46,10.8.8.178,443,38247,TCP,52,1433361130.783397
216.58.208.46,10.8.8.178,443,38247,TCP,52,1433361130.78403
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361134.723801
216.58.208.46,10.8.8.178,443,38243,TCP,52,1433361134.727982
173.194.67.189,10.8.8.178,443,57866,TCP,497,1433361134.884099
216.58.208.46,10.8.8.178,443,38243,TCP,180,1433361134.895869
216.58.208.46,10.8.8.178,443,38243,TCP,403,1433361134.895926
216.58.208.46,10.8.8.178,443,38243,TCP,98,1433361134.895947
173.194.67.189,10.8.8.178,443,57866,TCP,498,1433361134.938085
173.194.67.189,10.8.8.178,443,57866,TCP,511,1433361134.980738
